Flask server started
2018-01-26 12:04:07: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:07: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:07: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:07: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:07: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:07: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:07: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:07: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
('Client disconnected', 'ae021ff09ea845a9853f4a95ec5a8a45')
2018-01-26 12:04:10: {u'hr': 539, u'flex': 420, u'eda': 1, u'id': 0}
2018-01-26 12:04:10: {u'hr': 502, u'flex': 502, u'eda': 1, u'id': 0}
2018-01-26 12:04:10: {u'hr': 434, u'flex': 503, u'eda': 1, u'id': 0}
2018-01-26 12:04:10: {u'hr': 518, u'flex': 502, u'eda': 1, u'id': 0}
2018-01-26 12:04:11: {u'hr': 562, u'flex': 498, u'eda': 1, u'id': 0}
2018-01-26 12:04:11: {u'hr': 543, u'flex': 508, u'eda': 1, u'id': 0}
2018-01-26 12:04:11: {u'hr': 526, u'flex': 417, u'eda': 1, u'id': 0}
2018-01-26 12:04:11: {u'hr': 498, u'flex': 214, u'eda': 171, u'id': 1}
2018-01-26 12:04:11: {u'hr': 491, u'flex': 215, u'eda': 172, u'id': 1}
2018-01-26 12:04:11: {u'hr': 489, u'flex': 427, u'eda': 1, u'id': 0}
2018-01-26 12:04:11: {u'hr': 520, u'flex': 518, u'eda': 1, u'id': 0}
2018-01-26 12:04:11: {u'hr': 525, u'flex': 215, u'eda': 172, u'id': 1}
2018-01-26 12:04:11: {u'hr': 539, u'flex': 508, u'eda': 1, u'id': 0}
2018-01-26 12:04:11: {u'hr': 527, u'flex': 504, u'eda': 1, u'id': 0}
2018-01-26 12:04:11: {u'hr': 490, u'flex': 215, u'eda': 172, u'id': 1}
2018-01-26 12:04:11: {u'hr': 553, u'flex': 514, u'eda': 1, u'id': 0}
2018-01-26 12:04:11: {u'hr': 471, u'flex': 215, u'eda': 172, u'id': 1}
2018-01-26 12:04:11: {u'hr': 463, u'flex': 215, u'eda': 172, u'id': 1}
2018-01-26 12:04:11: {u'hr': 536, u'flex': 448, u'eda': 1, u'id': 0}
2018-01-26 12:04:12: {u'hr': 478, u'flex': 376, u'eda': 1, u'id': 0}
2018-01-26 12:04:12: {u'hr': 502, u'flex': 214, u'eda': 172, u'id': 1}
2018-01-26 12:04:12: {u'hr': 564, u'flex': 199, u'eda': 166, u'id': 1}
2018-01-26 12:04:12: {u'hr': 594, u'flex': 346, u'eda': 1, u'id': 0}
2018-01-26 12:04:12: {u'hr': 569, u'flex': 200, u'eda': 166, u'id': 1}
2018-01-26 12:04:12: {u'hr': 557, u'flex': 332, u'eda': 1, u'id': 0}
2018-01-26 12:04:12: {u'hr': 507, u'flex': 199, u'eda': 166, u'id': 1}
2018-01-26 12:04:12: {u'hr': 547, u'flex': 327, u'eda': 1, u'id': 0}
2018-01-26 12:04:12: {u'hr': 557, u'flex': 199, u'eda': 166, u'id': 1}
2018-01-26 12:04:12: {u'hr': 207, u'flex': 332, u'eda': 219, u'id': 2}
2018-01-26 12:04:12: {u'hr': 493, u'flex': 330, u'eda': 1, u'id': 0}
2018-01-26 12:04:12: {u'hr': 207, u'flex': 331, u'eda': 218, u'id': 2}
2018-01-26 12:04:12: {u'hr': 586, u'flex': 203, u'eda': 168, u'id': 1}
2018-01-26 12:04:12: {u'hr': 488, u'flex': 332, u'eda': 1, u'id': 0}
2018-01-26 12:04:12: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:12: {u'hr': 559, u'flex': 332, u'eda': 1, u'id': 0}
2018-01-26 12:04:12: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:12: {u'hr': 207, u'flex': 331, u'eda': 218, u'id': 2}
2018-01-26 12:04:12: {u'hr': 207, u'flex': 332, u'eda': 218, u'id': 2}
2018-01-26 12:04:12: {u'hr': 572, u'flex': 210, u'eda': 171, u'id': 1}
2018-01-26 12:04:12: {u'hr': 515, u'flex': 329, u'eda': 1, u'id': 0}
2018-01-26 12:04:12: {u'hr': 583, u'flex': 210, u'eda': 171, u'id': 1}
